species,input_area,M_method,M_estimate,version,method_or_source
alaska skate,BC,fishlife,0.1598409962549273,1,Thorson
alaska skate,BC,amax,NA,1,NA
alaska skate,BC,gsi,NA,1,NA
alaska skate,BC,then,NA,1,NA
alaska skate,BC,hamel_k,NA,1,NA
alaska skate,BC,jensen_k1,NA,1,NA
alaska skate,BC,jensen_k2,NA,1,NA
alaska skate,BC,frisk_k,NA,1,NA
alaska skate,BC,frisk_tmat,NA,1,NA
alaska skate,BS,fishlife,0.1598409962549273,1,Thorson
alaska skate,BS,amax,0.2076923076923077,1,AFSC max age
alaska skate,BS,amax,0.30000000000000004,2,AFSC mean top 5
alaska skate,BS,amax,0.31764705882352945,3,Matta and Gunderson 2007
alaska skate,BS,gsi,NA,1,NA
alaska skate,BS,then,0.13391077343120814,1,Matta and Gunderson 2007
alaska skate,BS,hamel_k,0.15251099999999998,1,Matta and Gunderson 2007
alaska skate,BS,jensen_k1,0.1305,1,Matta and Gunderson 2007
alaska skate,BS,jensen_k2,0.1392,1,Matta and Gunderson 2007
alaska skate,BS,frisk_k,0.15634520827545356,1,Matta and Gunderson 2007
alaska skate,BS,frisk_tmat,0.15948963317384368,1,Matta and Gunderson 2007
alaska skate,GOA,fishlife,0.1598409962549273,1,Thorson
alaska skate,GOA,amax,NA,1,NA
alaska skate,GOA,gsi,NA,1,NA
alaska skate,GOA,then,NA,1,NA
alaska skate,GOA,hamel_k,NA,1,NA
alaska skate,GOA,jensen_k1,NA,1,NA
alaska skate,GOA,jensen_k2,NA,1,NA
alaska skate,GOA,frisk_k,NA,1,NA
alaska skate,GOA,frisk_tmat,NA,1,NA
alaska skate,multi_region,fishlife,0.1598409962549273,1,Thorson
alaska skate,multi_region,amax,NA,1,NA
alaska skate,multi_region,gsi,NA,1,NA
alaska skate,multi_region,then,NA,1,NA
alaska skate,multi_region,hamel_k,NA,1,NA
alaska skate,multi_region,jensen_k1,NA,1,NA
alaska skate,multi_region,jensen_k2,NA,1,NA
alaska skate,multi_region,frisk_k,NA,1,NA
alaska skate,multi_region,frisk_tmat,NA,1,NA
alaska skate,WC,fishlife,0.1598409962549273,1,Thorson
alaska skate,WC,amax,NA,1,NA
alaska skate,WC,gsi,NA,1,NA
alaska skate,WC,then,NA,1,NA
